Date : 2020-05-28 09:50:29
Directory : d:\ProjectBisfitsFinal\bisfits
Total : 155 files,  23306 codes, 416 comments, 1200 blanks, all 24922 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\ProjectBisfitsFinal\bisfits\.docker\nginx\nginx.conf                                                                 | Properties |         24 |          0 |          8 |         32 |
| d:\ProjectBisfitsFinal\bisfits\.gitlab-ci.yml                                                                           | YAML       |         17 |          1 |          3 |         21 |
| d:\ProjectBisfitsFinal\bisfits\README.md                                                                                | Markdown   |         68 |          0 |         28 |         96 |
| d:\ProjectBisfitsFinal\bisfits\backend\.mvn\wrapper\MavenWrapperDownloader.java                                         | Java       |         76 |         31 |         11 |        118 |
| d:\ProjectBisfitsFinal\bisfits\backend\.mvn\wrapper\maven-wrapper.properties                                            | Properties |          2 |          0 |          1 |          3 |
| d:\ProjectBisfitsFinal\bisfits\backend\Dockerfile                                                                       | Dockerfile |          8 |          7 |          9 |         24 |
| d:\ProjectBisfitsFinal\bisfits\backend\mvnw.cmd                                                                         | Batch      |        147 |          0 |         36 |        183 |
| d:\ProjectBisfitsFinal\bisfits\backend\pom.xml                                                                          | XML        |        103 |          0 |          6 |        109 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\MetaData.java                            | Java       |         16 |          1 |          6 |         23 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\ProjectteambisfitsApplication.java       | Java       |          9 |          0 |          4 |         13 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\category\Category.java                   | Java       |         22 |          0 |          7 |         29 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\category\CategoryController.java         | Java       |         45 |          0 |          9 |         54 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\category\PrimaryCategory.java            | Java       |         53 |          0 |         15 |         68 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\category\PrimaryCategoryRepository.java  | Java       |          5 |          0 |          4 |          9 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\category\PrimaryCategoryService.java     | Java       |          8 |          0 |          7 |         15 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\category\PrimaryCategoryServiceImpl.java | Java       |         25 |          0 |          8 |         33 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\comment\Comment.java                     | Java       |         29 |          0 |          8 |         37 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\comment\CommentController.java           | Java       |         35 |          0 |          7 |         42 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\comment\CommentRepository.java           | Java       |          6 |          0 |          3 |          9 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\comment\CommentService.java              | Java       |          7 |          0 |          5 |         12 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\comment\CommentServiceImpl.java          | Java       |         21 |          0 |          8 |         29 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\config\WebSecurityConfiguration.java     | Java       |         21 |         29 |          6 |         56 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\defect\Defect.java                       | Java       |        148 |          0 |         40 |        188 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\defect\DefectController.java             | Java       |        139 |          4 |         23 |        166 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\defect\DefectRepository.java             | Java       |          6 |          0 |          3 |          9 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\defect\DefectService.java                | Java       |          9 |          0 |          8 |         17 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\defect\DefectServiceImpl.java            | Java       |         30 |          0 |          9 |         39 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\defect\UpvoteThreshold.java              | Java       |         11 |          0 |          3 |         14 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\department\Contact.java                  | Java       |         59 |          0 |         18 |         77 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\department\Department.java               | Java       |         57 |          0 |         14 |         71 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\department\DepartmentController.java     | Java       |         62 |          0 |         10 |         72 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\department\DepartmentRepository.java     | Java       |          5 |          0 |          3 |          8 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\department\DepartmentService.java        | Java       |          7 |          0 |          6 |         13 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\department\DepartmentServiceImpl.java    | Java       |         21 |          0 |          8 |         29 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\location\Location.java                   | Java       |         45 |          0 |         12 |         57 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\location\LocationController.java         | Java       |         50 |          0 |         10 |         60 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\location\LocationRepository.java         | Java       |          6 |          0 |          4 |         10 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\location\LocationService.java            | Java       |          8 |          0 |          6 |         14 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\location\LocationServiceImpl.java        | Java       |         25 |          0 |          9 |         34 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\location\Room.java                       | Java       |         21 |          0 |          8 |         29 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\photo\Photo.java                         | Java       |         24 |          0 |          8 |         32 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\photo\PhotoController.java               | Java       |         47 |          0 |          8 |         55 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\photo\PhotoRepository.java               | Java       |          4 |          1 |          3 |          8 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\photo\PhotoService.java                  | Java       |         10 |          0 |          8 |         18 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\photo\PhotoServiceImpl.java              | Java       |         31 |          0 |          9 |         40 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\priority\Priority.java                   | Java       |         40 |          0 |          9 |         49 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\priority\PriorityController.java         | Java       |         41 |          0 |          8 |         49 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\priority\PriorityRepository.java         | Java       |          4 |          0 |          3 |          7 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\priority\PriorityService.java            | Java       |          7 |          0 |          2 |          9 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\priority\PriorityServiceImpl.java        | Java       |         22 |          0 |          7 |         29 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\role\Role.java                           | Java       |         23 |          0 |          6 |         29 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\role\RoleController.java                 | Java       |         29 |          0 |          7 |         36 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\role\RoleRepository.java                 | Java       |          4 |          0 |          3 |          7 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\role\RoleService.java                    | Java       |          7 |          0 |          4 |         11 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\role\RoleServiceImpl.java                | Java       |         21 |          0 |          6 |         27 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\security\HelloController.java            | Java       |         14 |          0 |          3 |         17 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\status\Status.java                       | Java       |         20 |          0 |          6 |         26 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\status\StatusController.java             | Java       |         33 |          0 |          7 |         40 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\status\StatusRepository.java             | Java       |          5 |          0 |          2 |          7 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\status\StatusService.java                | Java       |          8 |          0 |          5 |         13 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\status\StatusServiceImpl.java            | Java       |         26 |          0 |          7 |         33 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\task\Task.java                           | Java       |         70 |          0 |         18 |         88 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\task\TaskController.java                 | Java       |         48 |          0 |          9 |         57 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\task\TaskRepository.java                 | Java       |          4 |          0 |          3 |          7 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\task\TaskService.java                    | Java       |          8 |          0 |          7 |         15 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\task\TaskServiceImpl.java                | Java       |         25 |          0 |          9 |         34 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\user\Observer.java                       | Java       |          4 |          0 |          1 |          5 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\user\User.java                           | Java       |        102 |          0 |         26 |        128 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\user\UserController.java                 | Java       |        119 |          2 |         31 |        152 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\user\UserRepository.java                 | Java       |          8 |          0 |          2 |         10 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\user\UserService.java                    | Java       |         10 |          0 |          3 |         13 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\java\edu\ap\projectteambisfits\user\UserServiceImpl.java                | Java       |         53 |          0 |         10 |         63 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\main\resources\application.properties                                        | Properties |         12 |         10 |          6 |         28 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\test\java\edu\ap\projectteambisfits\CategoryServiceImplTests.java            | Java       |         36 |          0 |         12 |         48 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\test\java\edu\ap\projectteambisfits\CommentServiceImplTest.java              | Java       |         38 |          0 |         12 |         50 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\test\java\edu\ap\projectteambisfits\DefectServiceImplTests.java              | Java       |         23 |         14 |         10 |         47 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\test\java\edu\ap\projectteambisfits\LocationServiceImplTests.java            | Java       |         36 |          0 |         13 |         49 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\test\java\edu\ap\projectteambisfits\PriorityServiceImplTest.java             | Java       |         35 |          0 |         10 |         45 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\test\java\edu\ap\projectteambisfits\ProjectteambisfitsApplicationTests.java  | Java       |          9 |          0 |          5 |         14 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\test\java\edu\ap\projectteambisfits\RoleServiceImplTest.java                 | Java       |         36 |          0 |         12 |         48 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\test\java\edu\ap\projectteambisfits\StatusServiceImplTest.java               | Java       |         43 |          0 |         14 |         57 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\test\java\edu\ap\projectteambisfits\TestConfig.java                          | Java       |         16 |          0 |          4 |         20 |
| d:\ProjectBisfitsFinal\bisfits\backend\src\test\java\edu\ap\projectteambisfits\UserServiceImplTest.java                 | Java       |         50 |          7 |         16 |         73 |
| d:\ProjectBisfitsFinal\bisfits\docker-compose.yml                                                                       | YAML       |         38 |          0 |          3 |         41 |
| d:\ProjectBisfitsFinal\bisfits\frontend\.eslintrc.js                                                                    | JavaScript |         28 |          0 |          1 |         29 |
| d:\ProjectBisfitsFinal\bisfits\frontend\Dockerfile                                                                      | Dockerfile |          9 |          6 |          8 |         23 |
| d:\ProjectBisfitsFinal\bisfits\frontend\README.md                                                                       | Markdown   |         31 |          0 |          9 |         40 |
| d:\ProjectBisfitsFinal\bisfits\frontend\babel.config.js                                                                 | JavaScript |          5 |          0 |          1 |          6 |
| d:\ProjectBisfitsFinal\bisfits\frontend\package-lock.json                                                               | JSON       |     14,624 |          0 |          1 |     14,625 |
| d:\ProjectBisfitsFinal\bisfits\frontend\package.json                                                                    | JSON       |         43 |          0 |          1 |         44 |
| d:\ProjectBisfitsFinal\bisfits\frontend\public\index.html                                                               | HTML       |         21 |          1 |          3 |         25 |
| d:\ProjectBisfitsFinal\bisfits\frontend\src\App.vue                                                                     | Vue.js     |        102 |          0 |          6 |        108 |
| d:\ProjectBisfitsFinal\bisfits\frontend\src\assets\logo.svg                                                             | XML        |          1 |          0 |          1 |          2 |
| d:\ProjectBisfitsFinal\bisfits\frontend\src\components\AdminComponents\CampusCreator.vue                                | Vue.js     |         72 |          0 |          7 |         79 |
| d:\ProjectBisfitsFinal\bisfits\frontend\src\components\AdminComponents\ContactCreator.vue                               | Vue.js     |        104 |          0 |          7 |        111 |
| d:\ProjectBisfitsFinal\bisfits\frontend\src\components\AdminComponents\ContactUpdater.vue                               | Vue.js     |        127 |          0 |          7 |        134 |
| d:\ProjectBisfitsFinal\bisfits\frontend\src\components\AdminComponents\PrimaryCategoryCreator.vue                       | Vue.js     |         71 |          0 |          7 |         78 |
| d:\ProjectBisfitsFinal\bisfits\frontend\src\components\AdminComponents\RoleManagement.vue                               | Vue.js     |        213 |          0 |         13 |        226 |
| d:\ProjectBisfitsFinal\bisfits\frontend\src\components\AdminComponents\RoomCreator.vue                                  | Vue.js     |         70 |          0 |          7 |         77 |
| d:\ProjectBisfitsFinal\bisfits\frontend\src\components\AdminComponents\Settings.vue                                     | Vue.js     |        471 |          0 |          9 |        480 |
| d:\ProjectBisfitsFinal\bisfits\frontend\src\components\AssigningToUser\AssignDefect.vue                                 | Vue.js     |        110 |          1 |         15 |        126 |
| d:\ProjectBisfitsFinal\bisfits\frontend\src\components\AssigningToUser\AssignedDefectsList.vue                          | Vue.js     |        131 |          1 |         14 |        146 |
| d:\ProjectBisfitsFinal\bisfits\frontend\src\components\AssigningToUser\DefectAssignedTable.vue                          | Vue.js     |        115 |          0 |         11 |        126 |
| d:\ProjectBisfitsFinal\bisfits\frontend\src\components\AssigningToUser\DefectUnassignedTable.vue                        | Vue.js     |        294 |          6 |         22 |        322 |
| d:\ProjectBisfitsFinal\bisfits\frontend\src\components\DataTables\DefectTable.vue                                       | Vue.js     |        307 |          0 |         17 |        324 |
| d:\ProjectBisfitsFinal\bisfits\frontend\src\components\DataTables\HomeDefectTable.vue                                   | Vue.js     |        288 |          1 |         19 |        308 |
| d:\ProjectBisfitsFinal\bisfits\frontend\src\components\DataTables\HomeTaskTable.vue                                     | Vue.js     |        274 |          1 |         16 |        291 |
| d:\ProjectBisfitsFinal\bisfits\frontend\src\components\DataTables\TaskTable.vue                                         | Vue.js     |        218 |          0 |         14 |        232 |
| d:\ProjectBisfitsFinal\bisfits\frontend\src\components\DefectDetails\CommentSection.vue                                 | Vue.js     |         93 |          0 |         12 |        105 |
| d:\ProjectBisfitsFinal\bisfits\frontend\src\components\DefectDetails\DefectDetail.vue                                   | Vue.js     |        198 |          3 |         17 |        218 |
| d:\ProjectBisfitsFinal\bisfits\frontend\src\components\DefectDetails\StatusSection.vue                                  | Vue.js     |         72 |          0 |          4 |         76 |
| d:\ProjectBisfitsFinal\bisfits\frontend\src\components\DialogCreators\DefectCreator.vue                                 | Vue.js     |        224 |          1 |          9 |        234 |
| d:\ProjectBisfitsFinal\bisfits\frontend\src\components\DialogCreators\DefectUpdater.vue                                 | Vue.js     |        247 |          0 |         11 |        258 |
| d:\ProjectBisfitsFinal\bisfits\frontend\src\components\DialogCreators\TaskCreator.vue                                   | Vue.js     |        197 |          0 |          7 |        204 |
| d:\ProjectBisfitsFinal\bisfits\frontend\src\components\GeneralComponents\AddNotificationButton.vue                      | Vue.js     |         57 |          0 |          4 |         61 |
| d:\ProjectBisfitsFinal\bisfits\frontend\src\components\GeneralComponents\Navbar.vue                                     | Vue.js     |         72 |          0 |          3 |         75 |
| d:\ProjectBisfitsFinal\bisfits\frontend\src\components\GeneralComponents\Overview.vue                                   | Vue.js     |        216 |          2 |         18 |        236 |
| d:\ProjectBisfitsFinal\bisfits\frontend\src\components\GeneralComponents\ProfilePage.vue                                | Vue.js     |         43 |          0 |          6 |         49 |
| d:\ProjectBisfitsFinal\bisfits\frontend\src\components\Login.vue                                                        | Vue.js     |         43 |          0 |          6 |         49 |
| d:\ProjectBisfitsFinal\bisfits\frontend\src\components\PersonalOverviewComponents\DefectCards.vue                       | Vue.js     |        152 |          2 |          4 |        158 |
| d:\ProjectBisfitsFinal\bisfits\frontend\src\components\PersonalOverviewComponents\GeneralOverview.vue                   | Vue.js     |        165 |          0 |         18 |        183 |
| d:\ProjectBisfitsFinal\bisfits\frontend\src\components\PersonalOverviewComponents\PersonalOverview.vue                  | Vue.js     |         65 |          2 |          4 |         71 |
| d:\ProjectBisfitsFinal\bisfits\frontend\src\components\PersonalOverviewComponents\TaskCards.vue                         | Vue.js     |        111 |          1 |          3 |        115 |
| d:\ProjectBisfitsFinal\bisfits\frontend\src\components\Photo\PhotoCreator.vue                                           | Vue.js     |          9 |         76 |          0 |         85 |
| d:\ProjectBisfitsFinal\bisfits\frontend\src\components\TaskDetails\TaskDetail.vue                                       | Vue.js     |         89 |          1 |         13 |        103 |
| d:\ProjectBisfitsFinal\bisfits\frontend\src\components\backend-api.js                                                   | JavaScript |        245 |         29 |         16 |        290 |
| d:\ProjectBisfitsFinal\bisfits\frontend\src\main.js                                                                     | JavaScript |         33 |          0 |          5 |         38 |
| d:\ProjectBisfitsFinal\bisfits\frontend\src\plugins\vuetify.js                                                          | JavaScript |          9 |          0 |          3 |         12 |
| d:\ProjectBisfitsFinal\bisfits\frontend\src\router\index.js                                                             | JavaScript |         68 |          0 |          5 |         73 |
| d:\ProjectBisfitsFinal\bisfits\frontend\src\views\Admin.vue                                                             | Vue.js     |         27 |          0 |          5 |         32 |
| d:\ProjectBisfitsFinal\bisfits\frontend\src\views\AdminSettings.vue                                                     | Vue.js     |         20 |          0 |          2 |         22 |
| d:\ProjectBisfitsFinal\bisfits\frontend\src\views\Archive.vue                                                           | Vue.js     |         81 |          0 |          3 |         84 |
| d:\ProjectBisfitsFinal\bisfits\frontend\src\views\DefectDetailPage.vue                                                  | Vue.js     |         13 |          0 |          3 |         16 |
| d:\ProjectBisfitsFinal\bisfits\frontend\src\views\Home.vue                                                              | Vue.js     |         28 |          0 |          2 |         30 |
| d:\ProjectBisfitsFinal\bisfits\frontend\src\views\ListDefectsPage.vue                                                   | Vue.js     |         24 |          0 |          2 |         26 |
| d:\ProjectBisfitsFinal\bisfits\frontend\src\views\PageNotFound.vue                                                      | Vue.js     |         35 |          0 |          2 |         37 |
| d:\ProjectBisfitsFinal\bisfits\frontend\src\views\ProfilePage.vue                                                       | Vue.js     |         16 |          0 |          2 |         18 |
| d:\ProjectBisfitsFinal\bisfits\frontend\src\views\TaskDetailPage.vue                                                    | Vue.js     |         13 |          0 |          3 |         16 |
| d:\ProjectBisfitsFinal\bisfits\frontend\src\views\Users.vue                                                             | Vue.js     |         16 |          0 |          2 |         18 |
| d:\ProjectBisfitsFinal\bisfits\frontend\tests\e2e\.eslintrc.js                                                          | JavaScript |          5 |          0 |          1 |          6 |
| d:\ProjectBisfitsFinal\bisfits\frontend\tests\e2e\custom-assertions\elementCount.js                                     | JavaScript |         16 |         15 |          4 |         35 |
| d:\ProjectBisfitsFinal\bisfits\frontend\tests\e2e\custom-commands\customExecute.js                                      | JavaScript |         10 |         23 |          5 |         38 |
| d:\ProjectBisfitsFinal\bisfits\frontend\tests\e2e\custom-commands\openHomepage.js                                       | JavaScript |          8 |         14 |          2 |         24 |
| d:\ProjectBisfitsFinal\bisfits\frontend\tests\e2e\custom-commands\openHomepageClass.js                                  | JavaScript |          9 |         12 |          4 |         25 |
| d:\ProjectBisfitsFinal\bisfits\frontend\tests\e2e\globals.js                                                            | JavaScript |          9 |         84 |         12 |        105 |
